ensg	target_id	pval	qval	b
ENSG00000171016	PYGO1	3.36628928548517e-09	5.50388298176826e-05	-1.83821009912999
ENSG00000149575	SCN2B	1.11837924655636e-08	9.14275034059826e-05	-3.40562151673879
ENSG00000131097	HIGD1B	2.79373925669944e-08	0.000152258789490119	-1.9671833918971
ENSG00000072832	CRMP1	5.63814586433811e-08	0.000174653234270843	-2.73066923167084
ENSG00000082014	SMARCD3	7.47750850089235e-08	0.000174653234270843	-1.32550574903818
ENSG00000171004	HS6ST2	6.56752243954449e-08	0.000174653234270843	-3.18578392268452
ENSG00000076716	GPC4	4.50267499000659e-08	0.000174653234270843	-2.35112372652657
ENSG00000131979	GCH1	1.12074995135141e-07	0.000229053271307445	1.31425813798709
ENSG00000137474	MYO7A	1.44157531993971e-07	0.000235697564810143	1.31783975854343
ENSG00000205363	C15orf59	1.41965460552727e-07	0.000235697564810143	-1.95050854376798
ENSG00000261910	MYO7A	1.44157531993971e-07	0.000235697564810143	1.31783975854343
ENSG00000182175	RGMA	1.62609093957887e-07	0.000241696244201041	-2.72707061647288
ENSG00000116771	AGMAT	2.05746619156898e-07	0.000280329768601274	1.59931775732258
ENSG00000177807	KCNJ10	3.136780853926e-07	0.000394510515089924	2.64168111171723
ENSG00000126821	SGPP1	5.1515811086469e-07	0.00060163107947412	0.69946719876286
ENSG00000102468	HTR2A	7.1447333502416e-07	0.000778775935176334	-2.05277747744609
ENSG00000143653	SCCPDH	8.05597854968688e-07	0.000823220308046128	0.814096636864084
ENSG00000198842	DUSP27	1.16482284773835e-06	0.001058047420029	-3.60847636559415
ENSG00000187098	MITF	1.13418243094716e-06	0.001058047420029	-0.927861474888679
ENSG00000136274	NACAD	1.36695514539232e-06	0.00113087859418572	-1.63199969218208
ENSG00000126016	AMOT	1.38333772989078e-06	0.00113087859418572	-1.99807887047229
ENSG00000166106	ADAMTS15	1.50930220797367e-06	0.00117509957620807	-2.26829447285359
ENSG00000137507	LRRC32	1.64640583069924e-06	0.00118316206512767	-1.28115534545667
ENSG00000159713	TPPP3	1.66438700293189e-06	0.00118316206512767	-1.38925185688252
ENSG00000135083	CCNJL	2.61681126260488e-06	0.00178270267264958	-1.61982918570845
ENSG00000131055	COX4I2	3.30445709663004e-06	0.00216111494119605	-1.75992559068088
ENSG00000157927	RADIL	3.54131578702756e-06	0.00222694281222694	-2.24657586117203
ENSG00000006042	TMEM98	3.79045887292423e-06	0.00229533342860412	-1.75648394239453
ENSG00000143494	VASH2	4.83200888167748e-06	0.0028215480434081	-1.71597661867944
ENSG00000103710	RASL12	5.92939893031913e-06	0.00334295422450751	-1.4760810535204
ENSG00000089057	SLC23A2	7.04371435910912e-06	0.00383882432571447	0.778719267361837
ENSG00000022267	FHL1	7.81982607692381e-06	0.00410970407956218	-1.80072874565902
ENSG00000133083	DCLK1	8.0434575257486e-06	0.00410970407956218	-1.85933738444178
ENSG00000229754	CXCR2P1	8.99021429600487e-06	0.00432323540410823	2.30893199825541
ENSG00000121440	PDZRN3	8.84696257289913e-06	0.00432323540410823	-1.88917468504022
ENSG00000188820	FAM26F	9.32471302705518e-06	0.00435597308549578	1.31962866453612
ENSG00000182916	TCEAL7	1.52728077216452e-05	0.0068133585555479	-1.79826900021887
ENSG00000101474	APMAP	1.5418609575246e-05	0.0068133585555479	0.659168578486965
ENSG00000116991	SIPA1L2	1.83071591965353e-05	0.00713121974435291	-0.888472263400955
ENSG00000002549	LAP3	1.81568347202629e-05	0.00713121974435291	0.620957127858909
ENSG00000170624	SGCD	1.71223281801675e-05	0.00713121974435291	-2.127624260074
ENSG00000136859	ANGPTL2	1.76417160852126e-05	0.00713121974435291	-1.41729480056449
ENSG00000111537	IFNG	1.83187296185212e-05	0.00713121974435291	2.07781440221957
ENSG00000182580	EPHB3	2.02545518162439e-05	0.00770144005106018	-1.352789801759
ENSG00000161640	SIGLEC11	2.20122470022002e-05	0.0081795508746812	1.36452541176349
ENSG00000171793	CTPS1	2.37468773497216e-05	0.00836806966766536	0.821734517593788
ENSG00000124766	SOX4	2.38589992835657e-05	0.00836806966766536	-0.996869478241189
ENSG00000197262	CCL4L2	2.40550014911481e-05	0.00836806966766536	2.005963039191
ENSG00000174307	PHLDA3	2.5632194251745e-05	0.00873096616700063	-1.28650260815481
ENSG00000197256	KANK2	2.69633910683625e-05	0.00899696824423934	-0.755756475254756
ENSG00000113088	GZMK	2.87201594317534e-05	0.00939149213418337	1.39309693613955
ENSG00000140557	ST8SIA2	3.20124828187123e-05	0.0102628253742342	-2.28107084712454
ENSG00000145362	ANK2	3.33164326526833e-05	0.0104754552667572	-1.52578011322569
ENSG00000018625	ATP1A2	3.4259075890562e-05	0.0105686017134092	-2.99570514624995
ENSG00000133874	RNF122	3.73785540768607e-05	0.0109132028420834	-0.914971719022614
ENSG00000180440	SERTM1	3.7026323115192e-05	0.0109132028420834	-3.07479261737025
ENSG00000125848	FLRT3	3.63887204109727e-05	0.0109132028420834	-3.18358632644926
ENSG00000154358	OBSCN	3.84045400348263e-05	0.0110160391152528	-1.85133660397812
