ID	NES.PRvNot	pvalue.PRvNot	p.adjust.PRvNot	NES.PDvNot	pvalue.PDvNot	p.adjust.PDvNot	NES.FullLM	pvalue.FullLM	p.adjust.FullLM
HALLMARK_ADIPOGENESIS	0.926355147956795	0.744939271255061	0.866208454947745	-0.951908435460201	0.614778921865536	0.913961550583045	-1.99973693245428	0.000104755918709407	0.00515463917525773
HALLMARK_ALLOGRAFT_REJECTION	2.68591345584849	0.00383141762452107	0.0115435356200528	-1.95288960424841	0.000588235294117647	0.0020550760378134	2.95400386503752	0.001953125	0.00515463917525773
HALLMARK_ANDROGEN_RESPONSE	1.20452070793237	0.0974729241877256	0.168056765840906	0.887921729454178	0.683065154312846	0.913961550583045	1.41743954084692	0.0218722659667542	0.0352966452840613
HALLMARK_ANGIOGENESIS	-1.30992462265999	0.113306000745434	0.188843334575724	1.70847125403134	0.00269662921348315	0.00842696629213483	-1.29426384441746	0.129283887468031	0.165748573676962
HALLMARK_APICAL_JUNCTION	-1.50401111063431	0.00133744855967078	0.00955320399764844	1.81382323140886	0.00012071463061323	0.00100790195129818	1.28614494626074	0.02734375	0.042724609375
HALLMARK_APICAL_SURFACE	-1.33027980695404	0.0940358580314672	0.167921175056192	1.32155782049461	0.106348504934453	0.204516355643178	-1.383037536684	0.068608904023206	0.0980127200331514
HALLMARK_APOPTOSIS	1.2260326481143	0.046195652173913	0.0923913043478261	-0.850309513954284	0.879466666666667	1	2.21367585896475	0.00160771704180064	0.00515463917525773
HALLMARK_BILE_ACID_METABOLISM	1.47753534633779	0.00364963503649635	0.0115435356200528	1.16323296296285	0.207614280068502	0.357955655290521	-1.73953514244722	0.000338104361546264	0.00515463917525773
HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.06264257196878	0.00099403578528827	0.00955320399764844	0.877972074454214	0.694610778443114	0.913961550583045	-1.13653326388666	0.261808522924125	0.304428515028053
HALLMARK_COAGULATION	-1.15114248090291	0.221841541755889	0.316916488222698	1.69443021782694	0.000259504346697807	0.00150893288266538	2.03753003402034	0.00101419878296146	0.00515463917525773
HALLMARK_COMPLEMENT	1.76198584965527	0.00401606425702811	0.0115435356200528	-1.03250514520763	0.34916864608076	0.563600254516707	2.46209646376231	0.00216450216450216	0.00515463917525773
HALLMARK_DNA_REPAIR	0.527923087194654	1	1	-0.616519041055074	1	1	0.989195423508035	0.482170542635659	0.502260981912145
HALLMARK_E2F_TARGETS	-0.545754672117607	0.99989771913675	1	1.74486838614758	0.000119331742243437	0.00100790195129818	2.9825967695529	0.00246913580246914	0.00515463917525773
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-1.78699473052303	0.000102239034863511	0.00208047268339367	2.36938799241091	0.000119289037337469	0.00100790195129818	2.63410873882193	0.00245700245700246	0.00515463917525773
HALLMARK_ESTROGEN_RESPONSE_EARLY	-1.31640875281903	0.0286418232214352	0.0596704650446566	1.66004743181632	0.000361358708744881	0.00150893288266538	-1.11383589861733	0.255826159983204	0.304428515028053
HALLMARK_ESTROGEN_RESPONSE_LATE	-1.32066653179149	0.026635129576306	0.0579024556006653	1.6220673401512	0.000361532899493854	0.00150893288266538	-1.45324010532977	0.00431488107766786	0.00829784822628435
HALLMARK_FATTY_ACID_METABOLISM	1.63266465842887	0.0022883295194508	0.0115435356200528	-0.753139963531941	0.984398590840463	1	-1.61457890226209	0.000321302345507122	0.00515463917525773
HALLMARK_G2M_CHECKPOINT	-0.780036667922895	0.904635219482247	0.969157691970931	1.81193090129889	0.000119660165131028	0.00100790195129818	2.7718121409013	0.0022271714922049	0.00515463917525773
